Age at admission,Gender,Country,Scholarship,SAT,Performance,Governorates,School,hours_diff
18,1,0,1,1230.0,1.0,4,-1,0
19,1,1,1,990.0,0.0,-1,-1,0
18,1,0,1,1200.0,1.0,2,0,0
18,0,0,1,1010.0,1.0,2,-1,3
18,1,0,1,1120.0,1.0,4,-1,0
19,1,0,1,1070.0,0.0,2,6,0
19,1,0,1,1140.0,1.0,4,-1,0
18,0,0,1,1210.0,1.0,2,-1,0
19,0,0,1,1080.0,1.0,4,-1,0
18,1,0,1,1040.0,1.0,4,-1,0
18,1,0,1,890.0,1.0,4,-1,0
18,1,0,1,1060.0,1.0,2,-1,6
